Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304
Africa Eastern and Southern,2.5471E+11,2.75661E+11,2.40245E+11,2.38387E+11,2.41192E+11,2.70852E+11,2.69031E+11,2.84106E+11,2.67325E+11,2.63712E+11,2.85444E+11,2.60256E+11,2.6718E+11,3.54958E+11,4.41422E+11,5.15E+11,5.78716E+11,6.64194E+11,7.11902E+11,7.1688E+11,8.51883E+11,9.48279E+11,9.54417E+11,9.6334E+11,9.7969E+11,8.99256E+11,8.29738E+11,9.39959E+11,1.01252E+12,1.00619E+12,9.2888E+11
Afghanistan,,,,,,,,,,,,,3825701406,4520946849,5224896719,6203256497,6971758333,9747886105,10109296958,12416152648,15856668496,17805098367,19907329906,20146416876,20497128600,19134221745,18116572399,18753456507,18053222735,18799444415,19955929061
Africa Western and Central,1.21804E+11,1.27939E+11,1.22576E+11,1.27981E+11,1.33143E+11,2.05687E+11,2.61262E+11,2.74377E+11,2.9495E+11,1.37292E+11,1.40133E+11,1.47525E+11,1.76589E+11,2.04455E+11,2.53454E+11,3.10071E+11,3.96077E+11,4.65627E+11,5.67853E+11,5.08493E+11,5.98607E+11,6.82176E+11,7.3774E+11,8.34097E+11,8.94505E+11,7.69263E+11,6.92115E+11,6.8563E+11,7.68158E+11,8.23406E+11,7.86962E+11
Angola,11236275843,10401188707,8307826847,6084688936,4438321017,5538749260,6535434716,7675412601,6506381417,6152922942,9129594816,8936079251,15285592486,17812704627,23552057820,36970901024,52381025102,65266415707,88538664884,70307196474,83799473760,1.1179E+11,1.28053E+11,1.32339E+11,1.35967E+11,90496420626,52761617226,73690155047,79450688232,70897962713,48501561230
Albania,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205
Andorra,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1239840640,1429047882,1546912332,1755989354,2361636235,2895047587,3159826892,3456264325,3952395030,4085780203,3674190066,3449925694,3629133063,3188653259,3193513470,3271686452,2789882569,2896611879,3000160415,3218418632,3155150256,2891002460
Arab World,6.51242E+11,4.80694E+11,4.85489E+11,4.99353E+11,5.31898E+11,5.64856E+11,6.15179E+11,6.6261E+11,6.49486E+11,7.17795E+11,8.20587E+11,8.03239E+11,8.0833E+11,8.94226E+11,1.06322E+12,1.30498E+12,1.54625E+12,1.79875E+12,2.26406E+12,1.98125E+12,2.33091E+12,2.5439E+12,2.77736E+12,2.83793E+12,2.87994E+12,2.52255E+12,2.47908E+12,2.55132E+12,2.8459E+12,2.87165E+12,2.53551E+12
United Arab Emirates,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,3.00189E+11,3.60833E+11,3.8461E+11,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11
Argentina,1.41353E+11,1.8972E+11,2.28779E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11
Armenia,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583
American Samoa,,,,,,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000
Antigua and Barbuda,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1281337037,1327107407,1325425926,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296
Australia,3.11421E+11,3.25967E+11,3.25518E+11,3.12128E+11,3.22802E+11,3.68166E+11,4.01342E+11,4.35643E+11,3.99674E+11,3.89652E+11,4.16168E+11,3.79629E+11,3.95789E+11,4.67739E+11,6.1466E+11,6.95693E+11,7.48418E+11,8.55007E+11,1.05611E+12,9.28762E+11,1.14889E+12,1.3987E+12,1.54765E+12,1.5773E+12,1.4686E+12,1.35177E+12,1.20758E+12,1.32688E+12,1.42973E+12,1.39467E+12,1.33038E+12
Austria,1.66463E+11,1.73794E+11,1.95078E+11,1.9038E+11,2.03535E+11,2.41038E+11,2.37251E+11,2.1279E+11,2.1826E+11,2.17259E+11,1.9729E+11,1.97509E+11,2.14395E+11,2.62274E+11,3.01458E+11,3.16092E+11,3.3628E+11,3.89186E+11,4.32052E+11,4.01759E+11,3.92275E+11,4.31685E+11,4.09402E+11,4.30191E+11,4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.54991E+11,4.44596E+11,4.35049E+11
Azerbaijan,8884848485,5344000000,444658671.6,1570392598,1193141110,2417331193,3176507376,3962362387,4446368571,4581248567,5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000
Burundi,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261
Belgium,2.05332E+11,2.10511E+11,2.34782E+11,2.24722E+11,2.44884E+11,2.88026E+11,2.79201E+11,2.52708E+11,2.58528E+11,2.58246E+11,2.36792E+11,2.36746E+11,2.58384E+11,3.18083E+11,3.69215E+11,3.85715E+11,4.0826E+11,4.70922E+11,5.17328E+11,4.83254E+11,4.81421E+11,5.2333E+11,4.96153E+11,5.21791E+11,5.3539E+11,4.62336E+11,4.76063E+11,5.02765E+11,5.43299E+11,5.35866E+11,5.26264E+11
Benin,1959965330,1986437797,1695315306,2274558083,1598075944,2169627138,2361116449,2268301646,2455092686,3677393999,3519991440,3666222635,4194342686,5349258094,6190270380,6567654954,7034111315,8169048383,9787734526,9738626517,9535345016,10693321364,11141358116,12517845124,13284527847,11388160997,11821065852,12701655846,14262408080,14390708757,15686741894
Burkina Faso,3101300779,3135045584,3356692505,3199536465,1895290637,2379517975,2586550595,2447669102,2804902367,3389566713,2968370088,3190371081,3622350063,4740768143,5451688538,6146353173,6547419820,7625722837,9451435490,9450696873,10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813502,17725010531
Bangladesh,31598340778,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.49991E+11,1.72885E+11,1.95079E+11,2.65236E+11,2.93755E+11,3.21379E+11,3.51238E+11,3.73902E+11
Bulgaria,20632090909,10943548387,10350515464,10832064942,9697416974,18991484420,12294964838,11316127379,15031055047,13627325461,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44432811756,54480684188,52023801230,50760929303,57737040780,54288135059,55852123990,57157782910,50811995689,53964253212,59309748166,66370132238,68881010246,70368758395
Bahrain,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713
"Bahamas, The",3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10395500000,10974800000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000
Bosnia and Herzegovina,,,,,1255802469,1866572954,2786045322,3671909673,4116774301,4686256363,5567772769,5800615466,6728220887,8498894359,10156541538,11222796337,12864841906,15778734264,19112796623,17613949091,17176315804,18644233537,17226735996,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564
Belarus,,,9200000000,16416666667,14952100840,13970425777,14756846154,14130585516,15221352699,12138243081,12736780455,12354820144,14594900945,17825444724,23141566293,30210091837,36961894281,45275711996,60752106347,50873167326,57231904543,61762382328,65685890439,75527558966,78812805039,56454889147,47723545321,54725302250,60031173808,64410122847,61371755326
Belize,545686365.5,594975697,693625168.2,750018765.3,769649509.5,816491620.2,848205276.9,870861115.2,926550756,996906468.7,1134756761,1168127974,1240059540,1303381861,1394273991,1468145956,1584207353,1699214299,1731921564,1681473348,1739070295,1818831938,1899503250,2021757434,2125125606,2194709309,2240593543,2266664817,2292787336,2386792476,2047727810
Bermuda,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000
Bolivia,4867582598,5343262457,5643868749,5734699489,5981222859,6715161732,7396949126,7925736821,8497494652,8285064435,8397855485,8141516928,7905485146,8082399640,8773451752,9549122905,11451844902,13120108008,16674276286,17339992194,19649723722,23963164697,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806
Brazil,4.61952E+11,4.07338E+11,3.9059E+11,4.38302E+11,5.4623E+11,7.69333E+11,8.50426E+11,8.83206E+11,8.63711E+11,5.99642E+11,6.55448E+11,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12
Barbados,2012131457,2020583702,1957000000,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450000,4674000000,4785250000,4465500000,4531150000,4656400000,4613850000,4685550000,4707600000,4734000000,4843300000,4992300000,5110250000,5341100000,4738800000
Brunei Darussalam,3520487627,3701774189,4183632940,4105729021,4087220219,4734103536,5115454090,5197311972,4051142386,4600116699,6001282104,5601018684,5843368268,6557397070,7872202803,9531420028,11470464771,12247677994,14393434225,10732595016,13707280260,18525128526,19048443341,18094321617,17097802753,12930291488,11400466356,12128183904,13566937674,13469235365,12005799654
Bhutan,287765007.1,240294286,240233531.2,225973692.8,258954708,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,424448931,461479581.8,520846133.5,603999374.5,682577068.5,796938572,874989741.1,1168307584,1227809270,1234015133,1547990912,1777102573,1781280182,1756214316,1907090376,2003596839,2158971711,2591358114,2583335724,2735683409,2457604043
Botswana,3790636324,3942876703,4146464587,4160129175,4259259604,4730599122,4847757218,5020265627,4790481509,5484263347,5788329609,5489608300,5438863983,7511582173,8957467707,9918907108,9919158482,10567270656,10730829116,10118459242,12637273429,15110643612,13907464500,14271738933,15470088501,13530748845,15082636723,16105156376,17031943186,16725908667,14960291541
Central African Republic,1440711459,1377374987,1411917553,1278781262,851174356.8,1115389674,1007791127,937741513,967338389.7,999477510.7,916777282.7,932648604.8,996068144.9,1142315523,1272360517,1337894379,1461859762,1699811295,1993407888,2067381665,2142591540,2437982705,2510126512,1691544110,1894813389,1695825714,1825018145,2072349973,2220979146,2221301351,2326720900
Canada,5.96076E+11,6.12528E+11,5.94387E+11,5.79054E+11,5.79944E+11,6.05961E+11,6.30608E+11,6.54987E+11,6.34E+11,6.78412E+11,7.44773E+11,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74373E+12,1.65568E+12
Central Europe and the Baltics,2.55343E+11,2.4259E+11,2.60007E+11,2.74156E+11,3.10993E+11,3.93418E+11,4.16195E+11,4.10169E+11,4.48895E+11,4.35065E+11,4.28598E+11,4.68615E+11,5.28074E+11,6.34393E+11,7.63091E+11,8.86072E+11,1.00164E+12,1.26556E+12,1.53071E+12,1.28985E+12,1.31653E+12,1.4547E+12,1.359E+12,1.41746E+12,1.46368E+12,1.29347E+12,1.31659E+12,1.46131E+12,1.64863E+12,1.67421E+12,1.66533E+12
Switzerland,2.65764E+11,2.68902E+11,2.79921E+11,2.72238E+11,3.01375E+11,3.52836E+11,3.40104E+11,2.94788E+11,3.03459E+11,2.97874E+11,2.79216E+11,2.86583E+11,3.09301E+11,3.62075E+11,4.03913E+11,4.18285E+11,4.41635E+11,4.90741E+11,5.67268E+11,5.54213E+11,5.98851E+11,7.15888E+11,6.8642E+11,7.06235E+11,7.26538E+11,6.94118E+11,6.87895E+11,6.95201E+11,7.25569E+11,7.21369E+11,7.41999E+11
Channel Islands,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,9511207129,9530244530,10422948632,10381669645,9811538462
Chile,33137824753,37846188181,45949608605,49287378588,56998601233,73444831587,78584098983,85741415248,81990010726,75578685736,78339750717,71574739559,70264045960,76492579644,99075985722,1.22294E+11,1.53844E+11,1.72491E+11,1.79895E+11,1.71778E+11,2.17051E+11,2.51383E+11,2.67025E+11,2.77395E+11,2.59561E+11,2.4245E+11,2.49345E+11,2.76154E+11,2.95858E+11,2.78599E+11,2.54258E+11
China,3.94566E+11,4.13375E+11,4.93137E+11,6.19112E+11,5.64322E+11,7.34485E+11,8.63749E+11,9.61602E+11,1.02906E+12,1.09401E+12,1.21133E+12,1.3394E+12,1.47056E+12,1.66028E+12,1.95535E+12,2.28596E+12,2.75212E+12,3.55033E+12,4.59434E+12,5.10169E+12,6.08719E+12,7.55155E+12,8.53219E+12,9.57047E+12,1.04756E+13,1.10616E+13,1.12333E+13,1.23105E+13,1.38949E+13,1.428E+13,1.46877E+13
Cote d'Ivoire,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,18071152821,18047558027,19619654770,18870992456,16577533891,16810537038,18054383334,21251754334,23510575668,24036918719,25281413268,28760090924,34078240260,33886813226,34936307965,36693710823,36302302845,42760235498,48843005626,45815005171,48407761032,52512344034,58522477745,59898479821,62982768372
Cameroon,12314482628,11840192296,12071775335,16181814713,8902446252,10864772471,11093538846,10789458433,11298144990,11565826465,10566579295,10953485349,12417251333,15970315035,18826214136,19509852207,20910512975,23928250433,27715142033,27932970317,27507501821,30630910495,30155062329,33728621180,36386544706,32210233020,33814337044,36098547033,39973842087,39670976453,40773241177
"Congo, Dem. Rep.",9329305478,,8850000000,10768000000,5820475672,5643416613,5771456952,6090838693,6217805821,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484466,14451901696,16737071816,19788515590,18648372553,21565721045,25839749199,29306235285,32679745048,35909040926,37917706497,37134801555,38019264795,47568210010,51775829877,48716961860
"Congo, Rep.",2798746050,2724853506,2933222703,2684323623,1769365438,2116003868,2540697539,2322719103,1949481379,2354772960,3227927698,2796704604,3034250924,3503723088,4656974940,6650001680,8072305029,8782703437,11649857673,9723299915,13148396212,15655383577,17692911296,17958720699,17919224180,12434829581,10931247265,11834406801,14773806078,13976661498,11468608530
Colombia,47844090710,49637993949,58394443378,66474101301,81705497617,92495970511,97153389011,1.06656E+11,98486358581,86278947637,99875074951,98200641203,97945812803,94644969157,1.17092E+11,1.45601E+11,1.61793E+11,2.0623E+11,2.42504E+11,2.32469E+11,2.86499E+11,3.34966E+11,3.70691E+11,3.82094E+11,3.81241E+11,2.93492E+11,2.8272E+11,3.11867E+11,3.34198E+11,3.23032E+11,2.70151E+11
Comoros,429622177.7,424108769.5,457388651.5,452881475.1,319189184.3,398461797,396053805.9,364445600.5,370106745.9,382454989.9,351136579.6,378512024.1,425964681,546885222.7,633706110.8,653845169.2,698431793.9,795673153.2,915659107.8,905341174,907978731.7,1023086273,1015843491,1116224107,1149587660,966029599.8,1012835493,1077439756,1188797450,1195019531,1225039196
Cabo Verde,306890962.6,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979269.8,490608657.9,521910560.5,592416703.1,539227277.6,563090490.4,620507387.5,813260468.9,924940011.8,972241676.9,1107571458,1649621739,1959620648,1852334575,1824751468,2046817987,1913081210,2028910915,2041930125,1749857620,1849789986,1996741540,2205099507,2252177124,1821565614
Costa Rica,5711687787,7196276092,8564041916,9582868487,10486787008,11578594260,11678424507,12614602382,13684255947,14254866281,15013629659,15976174337,16578820687,17271760507,18610594846,20040642477,22715540325,26884700345,30801744882,30745714313,37658614804,42762613700,47231655431,50949668841,52016408952,56441920821,58847019610,60516044657,62420164992,64417670521,62395610760
Caribbean small states,18145262491,18028768359,17750479193,19223181126,20203342208,22268849584,24288307617,28419094414,30366582091,32208819362,34552588846,35580943998,37331464588,39893014716,43630425959,49313767403,56077496593,62332145606,70784637902,59841390196,64940854448,70216293657,74185116568,75356800317,77059089419,75749012502,71240254844,73779107435,76540797384,77253744415,65860096130
Cuba,28645436569,24316556026,22085858243,22367254865,28448326757,30429803651,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656100000,87132800000,91370407864,96850649692,1.0005E+11,1.03428E+11,1.07352E+11
Curacao,,,,,,,,,,,,,,,,,,,,,,2930092237,3012836257,3033568606,3059406995,3058779212,3024690188,3033433248,3046364820,3026124116,2534327592
Cayman Islands,,,,,,,,,,,,,,,,,4200288241,4466278065,4585949024,4281714567,4156841107,4186073104,4291004524,4405796023,4562853611,4708167233,4909322237,5166281305,5530178441,5941896608,5647224989
Cyprus,5591130218,5770197348,6912150456,6590291048,7425703929,9933133247,10011918444,9547818700,10248617647,10497908306,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732125694,27564931919,24977293926,23899444183,23155988617,19842492367,20952955488,22870678689,25523485043,25947027570,25227201184
Czechia,40728950705,29859921159,34805013230,40866748705,47850203856,60147174077,67387788633,62180159376,66807429711,65173130995,61828166496,67808032980,82196001051,1.0009E+11,1.19814E+11,1.37143E+11,1.56264E+11,1.90184E+11,2.36816E+11,2.07434E+11,2.0907E+11,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.49001E+11,2.52548E+11,2.45975E+11
Germany,1.77167E+12,1.86895E+12,2.13157E+12,2.07132E+12,2.20507E+12,2.58579E+12,2.49724E+12,2.21199E+12,2.23899E+12,2.19495E+12,1.94798E+12,1.94579E+12,2.07848E+12,2.50164E+12,2.81435E+12,2.84686E+12,2.9947E+12,3.42558E+12,3.74526E+12,3.41126E+12,3.39967E+12,3.74931E+12,3.52714E+12,3.7338E+12,3.88909E+12,3.35759E+12,3.46985E+12,3.69085E+12,3.97444E+12,3.88918E+12,3.88773E+12
Djibouti,452328087.3,462421998.5,478058304.9,466048469.2,491689220.7,497723960.6,494004647.7,502675542,514267869.3,536080148.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3185150981
Dominica,201429629.6,219762963,234059259.3,245525925.9,264374074.1,274522222.2,292285185.2,302988888.9,322411111.1,331759259.3,333470370.4,340203703.7,333196296.3,343311111.1,367200000,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520429629.6,540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8
Denmark,1.38247E+11,1.39225E+11,1.52916E+11,1.43196E+11,1.56162E+11,1.85007E+11,1.87632E+11,1.73538E+11,1.76992E+11,1.77965E+11,1.64159E+11,1.64791E+11,1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56841E+11,3.46499E+11,3.54763E+11
Dominican Republic,7073675545,9824483340,11605382504,13081042400,14644734599,16637370839,18241622548,20017450041,21672215547,22136579397,24305780629,25601823688,27137440786,21403167848,22322387382,35777560684,37879830084,43965458509,48122601530,48261078914,53860187258,58029773599,60681535653,62682159338,67179955677,71164826837,75704647878,79998046306,85555390139,88941372558,78844656298
Algeria,62048507531,45715676428,48003133347,49945584453,42543176829,41764291672,46941554225,48177612042,48187781984,48640671735,54790398570,54744697926,56760355865,67863850334,85332581189,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.7176E+11,1.45744E+11
East Asia & Pacific (excluding high income),7.00807E+11,7.53373E+11,8.77362E+11,1.0653E+12,1.07194E+12,1.32215E+12,1.51846E+12,1.57074E+12,1.43329E+12,1.57816E+12,1.73628E+12,1.84727E+12,2.04452E+12,2.31401E+12,2.6831E+12,3.10788E+12,3.74296E+12,4.73197E+12,5.98729E+12,6.49144E+12,7.90072E+12,9.65087E+12,1.07601E+13,1.18703E+13,1.28003E+13,1.33236E+13,1.36148E+13,1.48814E+13,1.66406E+13,1.72135E+13,1.74876E+13
Early-demographic dividend,1.86538E+12,1.97574E+12,2.17336E+12,2.42318E+12,2.54916E+12,2.58998E+12,2.8146E+12,3.00703E+12,2.97562E+12,3.14656E+12,3.4401E+12,3.41428E+12,3.32159E+12,3.69265E+12,4.29262E+12,4.9985E+12,5.7118E+12,6.75795E+12,7.61677E+12,7.3324E+12,8.88403E+12,9.79563E+12,1.02437E+13,1.03852E+13,1.07402E+13,1.02168E+13,1.05178E+13,1.1373E+13,1.15043E+13,1.17431E+13,1.09415E+13
East Asia & Pacific,4.82514E+12,5.44289E+12,5.98332E+12,6.79413E+12,7.40446E+12,8.4077E+12,8.10152E+12,7.74379E+12,6.93165E+12,7.7435E+12,8.37735E+12,7.78951E+12,7.91276E+12,8.70221E+12,9.75843E+12,1.04113E+13,1.10348E+13,1.23312E+13,1.42201E+13,1.46306E+13,1.7078E+13,1.97969E+13,2.11742E+13,2.14113E+13,2.20896E+13,2.19953E+13,2.27758E+13,2.43291E+13,2.64878E+13,2.70327E+13,2.71552E+13
